Week,AWS: (United States),Google Cloud: (United States),Azure: (United States)
2018-06-10,41,9,26
2018-06-03,44,9,26
2018-05-27,40,9,22
2018-05-20,42,9,24
2018-05-13,43,9,25
2018-05-06,46,10,25
2018-04-29,43,9,24
2018-04-22,43,10,25
2018-04-15,42,9,25
2018-04-08,43,10,24
2018-04-01,43,11,23
2018-03-25,40,10,22
2018-03-18,39,11,23
2018-03-11,39,9,24
2018-03-04,39,10,24
2018-02-25,47,11,23
2018-02-18,36,9,22
