price,enrollment,rating,num_ratings
19.99,"1,494",4.6,80
39.99,443,4.6,78
29.99,418,4.6,74
19.99,"22,756",4.6,54
19.99,256,4.6,47
49.99,"22,455",4.6,44
19.99,695,4.6,31
19.99,"1,607",4.6,30
19.99,168,4.6,29
19.99,248,4.6,29
19.99,"7,027",4.6,26
84.99,217,4.6,20
64.99,205,4.6,20
19.99,78,4.6,18
74.99,229,4.6,15
29.99,973,4.6,15
19.99,"1,181",4.6,14
19.99,"2,021",4.6,8
84.99,45,4.6,8
24.99,144,4.6,8
39.99,39,4.6,5
19.99,23,4.6,5
19.99,"6,846",4.6,4
19.99,9,4.6,4
19.99,26,4.6,4
19.99,33,4.6,3
19.99,"1,174",4.6,3
19.99,"1,110",4.6,3
19.99,21,4.6,2
19.99,"91,035",4.5,"24,161"
19.99,"40,774",4.5,"13,891"
99.99,"85,449",4.5,"17,398"
39.99,"116,734",4.5,"21,959"
19.99,"105,836",4.5,"9,760"
24.99,"29,353",4.5,"6,727"
99.99,"38,541",4.5,"6,312"
84.99,"40,614",4.5,"6,022"
84.99,"16,691",4.5,"2,890"
34.99,"7,496",4.5,"1,599"
109.99,"7,671",4.5,"1,508"
19.99,"6,697",4.5,"1,402"
84.99,"6,992",4.5,"1,202"
79.99,"4,353",4.5,"1,010"
19.99,"6,401",4.5,758
19.99,"5,474",4.5,682
19.99,"3,858",4.5,538
24.99,"3,529",4.5,522
39.99,"1,364",4.5,476
84.99,"5,611",4.5,417
19.99,"3,181",4.5,245
19.99,"13,583",4.5,226
29.99,"3,199",4.5,166
19.99,"9,990",4.5,130
19.99,375,4.5,124
84.99,"16,347",4.5,91
84.99,"2,113",4.5,87
19.99,"6,540",4.5,58
19.99,615,4.5,52
19.99,"3,537",4.5,52
19.99,244,4.5,49
49.99,307,4.5,45
29.99,"1,981",4.5,44
109.99,278,4.5,42
84.99,"6,251",4.5,38
19.99,212,4.5,37
84.99,177,4.5,34
84.99,"3,064",4.5,29
19.99,"2,979",4.5,21
24.99,125,4.5,19
84.99,"3,000",4.5,18
29.99,"1,251",4.5,18
19.99,659,4.5,18
84.99,50,4.5,10
19.99,"6,889",4.5,8
19.99,49,4.5,8
84.99,33,4.5,7
84.99,16,4.5,2
39.99,29,4.5,2
19.99,43,4.5,2
69.99,3,4.5,1
39.99,10,4.5,1
84.99,155,5.0,35
19.99,28,5.0,16
44.99,159,5.0,13
84.99,40,5.0,11
24.99,13,5.0,7
69.99,16,5.0,6
19.99,29,5.0,5
19.99,9,5.0,5
19.99,11,5.0,5
19.99,693,5.0,4
44.99,19,5.0,4
19.99,21,5.0,3
74.99,23,5.0,3
19.99,860,5.0,3
79.99,"1,021",5.0,3
19.99,8,5.0,3
19.99,6,5.0,3
19.99,3,5.0,1
84.99,9,5.0,1
19.99,38,5.0,1
19.99,100,5.0,1
29.99,43,5.0,1
19.99,1,5.0,1
19.99,6,5.0,1
84.99,5,5.0,1
84.99,9,5.0,1
24.99,105,5.0,1
19.99,100,5.0,1
19.99,4,5.0,1
19.99,100,5.0,1
19.99,1,5.0,1
19.99,3,5.0,1
19.99,203,5.0,1
19.99,202,5.0,1
84.99,489,4.9,26
19.99,"2,010",4.9,8
19.99,"1,514",4.9,6
19.99,46,4.9,5
84.99,"1,396",4.8,144
29.99,"2,653",4.8,54
24.99,645,4.8,11
19.99,206,4.9,4
39.99,"14,978",4.7,"3,605"
84.99,"4,331",4.7,819
84.99,"3,272",4.7,502
109.99,"1,126",4.7,368
19.99,"1,169",4.7,187
19.99,756,4.7,143
84.99,"13,829",4.7,131
39.99,"6,590",4.7,62
19.99,49,4.7,15
19.99,"1,599",4.7,10
19.99,"2,032",4.7,7
49.99,28,4.7,7
19.99,116,4.7,6
24.99,"24,536",4.6,"7,184"
19.99,"6,294",4.6,"1,876"
99.99,"10,482",4.6,"1,700"
39.99,"5,734",4.6,"1,370"
