,Unnamed: 0,course_id,urls,title,date_created,num_subscribers,is_paid,price,avg_rating,num_ratings,content_duration
662,662,3495790,/course/azure-ai900/,AI-900 MS Azure AI Fundamental Certification Exam Tests,2020-09-13,501,True,39.99,4.25,23,96.0
663,663,4826956,/course/deploy-any-mern-stack-app-on-azure-cloud-using-cicd-pipeline-j/,Deploy any MERN Stack App on Azure Cloud using CICD Pipeline,2022-08-11,2009,True,19.99,4.375,8,4.5
664,664,2531464,/course/dp-201-microsoft-designing-an-azure-data-solution-exam-qa/,DP-201 Microsoft Designing an Azure Data Solution Exam Q&A,2019-08-28,155,True,39.99,3.5,35,106.0
665,665,2080538,/course/build-cross-platform-apps-with-xamarin-forms-and-azure/,Build Cross Platform Apps with Xamarin Forms and Azure,2018-12-11,381,True,24.99,4.05,68,2.0
666,666,4354642,/course/practice-test-for-ms-azure-data-engineer-dp-203-exam-2021/,Practice Test for MS Azure Data Engineer (DP-203) Exam 2023,2021-10-18,8171,True,19.99,3.3,16,39.0
667,667,3305034,/course/dp-300-administering-relational-databases-on-microsoft-azure-h/,DP-300 Administering Relational Databases on Microsoft Azure,2020-07-06,127,True,29.99,3.7,35,97.0
668,668,4295848,/course/az-400-microsoft-azure-devops-expert-exam-practice-test-2021/,AZ-400 Microsoft Azure DevOps Expert Exam Practice Test 2023,2021-09-13,5392,True,19.99,4.35,12,82.0
669,669,4194434,/course/microsoft-azure-security-exam-az-500-practice-test-2021/,Microsoft Azure Security Exam (AZ-500) : Practice Test 2023,2021-07-20,3648,True,19.99,4.1,15,55.0
670,670,4581808,/course/az-304-and-az-305-azure-architect-exam-practise-test/,AZ-304 and AZ-305 Azure Architect Exam Practise Test,2022-03-05,157,True,19.99,4.3,10,83.0
671,671,2754476,/course/azuredevops-az400/,AZ 400 : Azure DevOps Practice tests with detailed solutions,2020-01-12,158,True,19.99,4.0,15,84.0
672,672,3392758,/course/az-301304-azure-architect-design-practice-tests/,AZ-301/304: Azure Architect Design Practice Tests,2020-08-04,30,True,74.99,3.6,5,205.0
673,673,3691594,/course/dp-900-microsoft-azure-data-fundamentals-practice-exam-2020/,DP-900 Microsoft Azure Data Fundamentals Practice Exam 2022,2020-12-08,29,True,29.99,4.0,6,176.0
674,674,4884390,/course/azure-fundamentals-describe-azure-management-and-governance/,Azure Fundamentals: Describe Azure management and governance,2022-09-15,1091,False,Free,4.25,8,1.0
675,675,4927240,/course/azure-fundamentals-describe-azure-management-and-governance-new/,Azure Fundamentals: Describe Azure management and governance,2022-10-13,970,False,Free,4.125,8,1.0
