,course_id,urls,title,date_created,num_subscribers,is_paid,price,avg_rating,num_ratings,content_duration
0,3827154,/course/google-cloud-certification-associate-cloud-engineer/,GCP Associate Cloud Engineer - Google Cloud Certification,2021-02-05T08:04:02Z,83768,True,19.99,4.5850706,15792,17.5
1,3995372,/course/google-cloud-professional-cloud-architect-certification/,GCP Professional Cloud Architect: Google Cloud Certification,2021-04-20T17:29:45Z,45087,True,19.99,4.6236362,6452,21
2,4008228,/course/google-cloud-digital-leader-certification/,GCP for Beginners - Become a Google Cloud Digital Leader,2021-04-26T13:54:29Z,40085,True,19.99,4.6373043,8761,10.5
3,2543649,/course/google-certified-associate-cloud-engineer-2019-prep-course/,Google Cloud Associate Cloud Engineer: Get Certified 2022,2019-09-04T16:15:33Z,84358,True,79.99,4.525641,9033,6
4,2604078,/course/google-cloud-platform-gcp-fundamentals-for-beginners/,Google Cloud Platform (GCP) Fundamentals for Beginners,2019-10-13T05:29:20Z,92690,True,24.99,4.5018673,29417,4
5,4045712,/course/google-certified-associate-cloud-engineer-practice-tests-x/,Google Certified Associate Cloud Engineer Practice Tests,2021-05-12T20:51:27Z,7526,True,19.99,4.484536,934,250
6,5168866,/course/gcp-google-professional-cloud-architect-certification-exam/,GCP Google Professional Cloud Architect Certification Exam,2023-02-20T08:34:42Z,0,True,39.99,0.0,0,60
7,4178136,/course/google-cloud-certified-professional-cloud-developer/,Google Cloud Developer - GCP Professional Certification,2021-07-11T14:10:24Z,11503,True,19.99,4.5452585,1143,21.5
8,4916320,/course/latest-gcp-ace-google-associate-cloud-engineer-practice-exams-tests/,GCP Google Associate Cloud Engineer Practice Test Exam 2023,2022-10-06T16:42:00Z,286,True,19.99,4.5384617,47,300
9,4095980,/course/google-cloud-gcp-professional-data-engineer-certification/,GCP - Google Cloud Professional Data Engineer Certification,2021-06-02T14:50:19Z,11497,True,19.99,4.457944,1536,23.5
10,3962460,/course/google-cloud-gcp-associate-cloud-engineer-certification/,GCP Associate Cloud Engineer Certification : Google Cloud,2021-04-06T05:03:10Z,6111,True,19.99,4.491071,1235,21
11,4280268,/course/gcp-professional-cloud-architect/,Google Cloud Professional Cloud Architect: GCP Certification,2021-09-04T04:09:52Z,778,True,84.99,4.5833335,78,22.5
12,4296670,/course/terraform-for-beginners-using-google-cloud/,Terraform for Beginners using GCP - Google Cloud (Hands-on),2021-09-13T13:35:12Z,6238,True,19.99,4.509217,899,8
13,4065250,/course/google-cloud-professional-architect-get-certified/,Google Cloud Professional Architect: Get Certified 2022,2021-05-20T22:52:14Z,8185,True,69.99,4.55,1085,9
14,4133782,/course/google-cloud-networking/,GCP - Google Cloud Professional Cloud Network Engineer,2021-06-19T15:57:18Z,2322,True,19.99,4.45,310,15
15,4881592,/course/google-certified-associate-cloud-engineer-practice-testexam/,GCP Google Associate Cloud Engineer Practice Test,2022-09-14T08:01:19Z,869,True,49.99,4.8333335,34,450
16,4133780,/course/gcp-google-cloud-professional-devops-engineer-certification/,GCP Google Cloud Professional DevOps Engineer Certification,2021-06-19T15:54:25Z,4693,True,19.99,4.422727,649,13.5
17,2459706,/course/google-certified-architect-developer-engineer-data-devops/,Ultimate Google Cloud Certifications: All in one Bundle (6),2019-07-15T04:03:47Z,105682,True,89.99,4.22,3127,42
18,2827592,/course/google-cloud-specialization/,Google Cloud Platform MasterClass: GCP for Absolute Beginner,2020-02-21T03:51:59Z,11387,True,109.99,4.5172415,1175,31
19,4151466,/course/gcp-arch-exam-practice/,Latest Google Cloud Architect Practice Question,2021-06-28T14:31:36Z,4240,True,19.99,4.5078125,501,150
20,4306507,/course/google-cloud-certified-cloud-digital-leader-practice-tests/,Google Cloud Certified Cloud Digital Leader Practice Tests,2021-09-18T15:41:52Z,3783,True,29.99,4.390351,840,160
21,3917678,/course/google-cloud-platform-for-aws-professionals/,GCP for AWS Professionals - Learn Google Cloud at F1 Speed,2021-03-16T13:48:45Z,3539,True,19.99,4.5,446,7.5
22,4376072,/course/google-cloud-function-serverless/,Google Cloud Function with 5 Hands-on Demo - Serverless GCP,2021-11-01T02:59:18Z,612,True,19.99,4.547619,64,2.5
23,5035986,/course/gcp-google-cloud-digital-leader-practice-exams-en/,GCP: Google Cloud Digital Leader Practice Exams [2023 New],2022-12-22T04:41:42Z,3863,True,19.99,4.654412,68,150
24,5035984,/course/gcp-ace-google-cloud-associate-cloud-engineer-550q-2023/,GCP ACE : Google Cloud Associate Cloud Engineer [2023 New],2022-12-22T04:41:21Z,3496,True,19.99,4.8,75,400
25,1299656,/course/gcp-data-engineer-and-cloud-architect/,GCP: Complete Google Data Engineer and Cloud Architect Guide,2017-07-21T05:01:37Z,49120,True,99.99,4.2534246,7119,28
26,4126398,/course/google-cloud-gcp-professional-cloud-security-engineer-certification/,Google Professional Cloud Security Engineer Certification,2021-06-16T04:00:18Z,5363,True,19.99,4.5376344,697,13
27,3765452,/course/gcp-architect-am/,Google Cloud (GCP) Professional Cloud Architect,2021-01-10T22:08:26Z,4689,True,94.99,4.51875,586,22.5
28,4963632,/course/google-associate-cloud-engineer-training/,GCP Associate Cloud Engineer- Google Cloud ACE Training 2023,2022-11-06T05:03:33Z,205,True,24.99,4.71875,22,15
