name,course_name,course_URL,price,enrollment,rating,num_ratings
Azure,19.99,126,5.0,15
Azure,19.99,612,5.0,13
Azure,84.99,"1,075",5.0,15
Azure,24.99,41,5.0,11
Azure,19.99,138,5.0,10
Azure,19.99,37,5.0,7
Azure,84.99,23,5.0,7
Azure,19.99,63,5.0,6
Azure,19.99,36,5.0,6
Azure,29.99,19,5.0,6
Azure,19.99,473,5.0,6
Azure,84.99,30,5.0,5
Azure,84.99,"2,462",5.0,5
Azure,54.99,69,5.0,5
Azure,19.99,122,5.0,5
Azure,19.99,78,5.0,6
Azure,19.99,930,5.0,3
Azure,39.99,29,5.0,3
Azure,54.99,26,5.0,3
Azure,19.99,264,5.0,3
Azure,49.99,6,5.0,3
Azure,59.99,21,5.0,3
Azure,19.99,4,5.0,3
Azure,19.99,20,5.0,2
Azure,19.99,6,5.0,2
Azure,19.99,5,5.0,2
Azure,49.99,13,5.0,2
Azure,84.99,8,5.0,2
Azure,19.99,"2,381",5.0,2
Azure,19.99,4,5.0,2
Azure,84.99,41,5.0,2
Azure,19.99,44,5.0,2
Azure,19.99,"1,808",4.6,3
Azure,19.99,4,5.0,2
Azure,19.99,"1,008",5.0,2
Azure,19.99,203,5.0,2
Azure,19.99,"1,006",5.0,2
Azure,64.99,22,5.0,2
Azure,19.99,101,5.0,1
Azure,19.99,40,5.0,1
Azure,84.99,"1,015",5.0,1
Azure,19.99,233,5.0,1
Azure,84.99,"1,101",5.0,1
Azure,19.99,193,5.0,1
Azure,19.99,"2,066",5.0,1
Azure,24.99,22,5.0,1
Azure,19.99,12,5.0,1
Azure,19.99,"3,023",5.0,1
Azure,39.99,60,5.0,1
Azure,19.99,1,5.0,1
Azure,54.99,21,5.0,1
Azure,24.99,5,5.0,1
Azure,19.99,6,5.0,1
Azure,84.99,"1,007",5.0,2
Azure,39.99,12,5.0,1
Azure,19.99,7,5.0,1
Azure,19.99,"1,012",5.0,1
Azure,19.99,21,5.0,1
Azure,49.99,3,5.0,1
Azure,19.99,5,5.0,1
Azure,19.99,7,5.0,1
Azure,19.99,40,5.0,1
Azure,84.99,6,5.0,1
Azure,19.99,20,5.0,1
Azure,24.99,22,5.0,1
Azure,109.99,"11,563",4.9,"1,973"
Azure,39.99,"3,168",4.9,317
Azure,19.99,"1,054",4.9,22
Azure,49.99,339,4.8,29
Azure,84.99,96,4.9,18
Azure,24.99,"2,058",4.9,12
Azure,64.99,90,4.9,9
Azure,84.99,64,4.8,11
Azure,19.99,"3,022",4.6,7
Azure,19.99,56,4.9,6
Azure,19.99,5,4.9,4
Azure,39.99,40,4.9,4
Azure,49.99,"1,023",4.9,4
Azure,19.99,11,4.9,3
Azure,19.99,11,4.9,3
Azure,19.99,191,4.9,3
Azure,19.99,"2,338",4.8,286
Azure,84.99,"28,215",4.8,259
Azure,19.99,"1,448",4.8,145
Azure,84.99,"3,503",4.7,96
Azure,39.99,656,4.7,91
Azure,19.99,434,4.8,57
Azure,19.99,"3,132",4.8,56
Azure,19.99,130,4.8,51
Azure,19.99,"2,998",4.9,48
Azure,19.99,200,4.8,45
Azure,49.99,"20,540",4.8,43
Azure,24.99,251,4.8,41
Azure,19.99,"3,246",4.7,44
Azure,19.99,"1,907",4.8,30
Azure,84.99,172,4.8,24
Azure,19.99,"2,412",4.8,20
Azure,19.99,"2,620",4.8,20
Azure,84.99,255,4.7,22
Azure,19.99,"2,384",4.8,15
Azure,19.99,93,4.8,16
Azure,19.99,206,4.8,14
Azure,19.99,"3,867",4.8,7
Azure,84.99,94,4.8,5
Azure,19.99,17,4.8,5
Azure,24.99,32,4.8,5
Azure,19.99,49,4.8,5
Azure,19.99,53,4.8,4
Azure,19.99,268,4.9,4
Azure,19.99,33,4.8,2
Azure,39.99,5,4.8,2
Azure,19.99,"14,209",4.7,"3,765"
Azure,79.99,"19,921",4.7,"3,412"
Azure,19.99,"36,536",4.7,"2,291"
Azure,24.99,"7,390",4.7,"1,287"
Azure,89.99,"6,762",4.7,"1,156"
Azure,24.99,"4,325",4.7,"1,135"
Azure,34.99,"8,629",4.7,"1,078"
Azure,19.99,"9,147",4.7,"1,051"
Azure,19.99,"11,343",4.6,"1,038"
Azure,19.99,"11,222",4.6,870
Azure,84.99,"6,641",4.6,756
Azure,99.99,"12,435",4.7,705
