Category: All categories

Week,AWS: (United States),Google Cloud: (United States),Azure: (United States)
2022-10-16,63,6,75
2022-10-23,54,6,69
2022-10-30,55,5,70
2022-11-06,60,5,69
2022-11-13,53,5,68
2022-11-20,43,4,65
2022-11-27,70,5,65
2022-12-04,60,4,64
2022-12-11,58,5,69
2022-12-18,47,6,84
2022-12-25,40,5,62
2023-01-01,43,4,65
2023-01-08,51,4,73
2023-01-15,51,5,68
2023-01-22,59,5,74
2023-01-29,59,6,72
2023-02-05,53,5,65
